year,id,cyclone_id,china_id,e_name,c_name,land_total,land_order,land_province,land_level
1949,4,194904,,Elaine,,1,1,香港,TS
1949,6,194906,,Gloria,,3,1,浙江,TY
1949,6,194906,,Gloria,,3,2,上海－浙江,TY
1949,6,194906,,Gloria,,3,3,山东,STS
1949,8,194908,,Irma,,1,1,台湾,STS
1949,11,194911,,,,2,1,海南,TD
1949,11,194911,,,,2,2,广东,
1949,13,194913,,,,1,1,福建,
1949,19,194919,,,,1,1,广东,STS
1949,20,194920,,Nelly,,2,1,台湾,TY
1949,20,194920,,Nelly,,2,2,广东,TD
1949,24,194924,,,,2,1,台湾,TD
1949,24,194924,,,,2,2,福建,
1949,25,194925,,Omilia,,1,1,广东,TS
1950,3,195003,,,,1,1,台湾,TS
1950,5,195005,,,,1,1,广东,TD
1950,7,195007,,Grace,,1,1,辽宁,TD
1950,9,195009,,,,1,1,台湾,TD
1950,10,195010,,,,1,1,江苏,TD
1950,12,195012,,,,1,1,广东,TD
1950,30,195030,,Ossia,,1,1,广东,TS
1950,31,195031,,,,1,1,海南,TD
1950,32,195032,,,,1,1,海南,TD
1950,40,195040,,Delilah,,1,1,海南,TS
1951,5,195105,,,,1,1,广东,TD
1951,6,195106,,,,1,1,海南,TD
1951,12,195112,,Louise,,1,1,广东,TY
1951,15,195115,,,,2,1,广东,
1951,15,195115,,,,2,2,广西,
1951,18,195118,,Nora,,1,1,海南,TY
1951,21,195121,,Ora,,1,1,广东,
1951,22,195122,,Pat,,2,1,浙江,TS
1951,22,195122,,Pat,,2,2,上海－浙江,TD
1952,1,195201,,Charlotte,,1,1,广东,STS
1952,3,195203,,,,1,1,广东,TD
1952,4,195204,,Emma,,1,1,广东,STS
1952,7,195207,,Gilda,,1,1,浙江,TD
1952,8,195208,,Harriet,,1,1,广东,TS
1952,12,195212,,,,1,1,广东,TD
1952,14,195214,,,,1,1,广东,TD
1952,15,195215,,Lois,,1,1,海南,TY
1952,16,195216,,Mary,,1,1,福建,TS
1952,16,195216,,Mary(-)1,,1,1,福建,TD
1952,17,195217,,Nora,,1,1,海南,TY
1952,18,195218,,,,2,1,台湾,STS
1952,18,195218,,,,2,2,广东,STS
1952,19,195219,,,,2,1,台湾,TD
1952,19,195219,,,,2,2,福建,
1952,21,195221,,,,1,1,海南,TS
1952,29,195229,,Bess,,1,1,台湾,TY
1952,31,195231,,Della,,1,1,台湾,TD
