cyclone_id,cyclone_num,station_id,speed_highwind,time
194906,4900,54823,14,1949/7/26 0:00
194906,4900,54823,14,1949/7/27 0:00
194906,4900,54857,19,1949/7/26 12:50
194906,4900,58238,12,1949/7/25 8:00
194906,4900,58477,18,1949/7/24 20:00
194920,4900,58847,16,1949/9/14 15:00
194920,4900,58847,16,1949/9/14 21:00
194920,4900,59134,18,1949/9/14 0:00
194920,4900,59287,12,1949/9/8 2:00
194925,4900,59134,12,1949/10/4 21:00
194925,4900,59134,12,1949/10/3 14:00
195010,5000,54857,12,1950/8/2 11:50
195010,5000,58238,12,1950/8/1 20:00
195030,5000,59134,12,1950/10/5 0:00
195030,5000,59134,12,1950/10/4 0:00
195030,5000,59287,17,1950/10/4 20:00
195030,5000,59287,17,1950/10/5 2:00
195030,5000,59316,14,1950/10/4 20:00
195038,5000,58847,12,1950/11/11 5:00
195112,5100,59082,18,1951/8/2 10:00
195112,5100,59265,14,1951/8/2 14:00
195112,5100,59287,12,1951/8/2 5:00
195112,5100,59431,22,1951/8/3 2:00
195112,5100,59758,11,1951/8/2 5:00
195115,5100,58847,14,1951/8/14 2:00
195115,5100,58847,14,1951/8/14 3:00
195115,5100,59134,12,1951/8/14 14:00
195116,5100,54857,17,1951/8/21 13:00
195116,5100,58238,12,1951/8/21 14:00
195116,5100,58847,12,1951/8/21 2:00
195116,5100,58847,12,1951/8/21 3:00
195118,5100,59431,12,1951/9/3 9:00
195118,5100,59431,12,1951/9/3 11:00
195118,5100,59431,12,1951/9/3 12:00
195118,5100,59758,17,1951/9/3 3:00
195201,5200,59316,11,1952/6/11 16:00
195201,5200,59758,13,1952/6/11 0:00
195203,5200,59316,14,1952/6/28 23:00
195204,5200,59758,18,1952/7/6 4:00
195207,5200,54776,11,1952/7/23 9:00
195207,5200,54823,15,1952/7/22 18:10
195207,5200,54857,19,1952/7/23 3:50
195207,5200,58027,15,1952/7/21 0:00
195207,5200,58238,13,1952/7/20 22:00
195208,5200,58847,14,1952/7/29 14:00
195208,5200,59082,11,1952/7/30 10:00
195208,5200,59316,19,1952/7/29 23:00
195208,5200,59316,19,1952/7/29 23:00
195213,5200,54776,14,1952/8/18 21:00
195213,5200,54857,11,1952/8/18 10:50
195215,5200,59758,13,1952/8/28 11:00
195216,5200,54776,23,1952/9/3 9:00
195216,5200,54857,14,1952/9/2 23:50
195216,5200,58251,11,1952/9/2 21:00
195216,5200,58847,14,1952/9/1 15:00
195217,5200,59758,16,1952/9/6 0:00
195218,5200,58847,13,1952/9/12 2:00
195218,5200,59316,21,1952/9/13 1:00
195218,5200,59501,11,1952/9/13 6:00
195218,5200,59501,11,1952/9/13 14:00
195224,5200,59838,15,1952/10/24 20:00
195225,5200,59838,14,1952/10/15 0:00
195227,5200,59838,14,1952/10/29 0:00
195227,5200,59838,14,1952/10/29 0:00
195229,5200,58847,13,1952/11/13 19:00
195231,5200,58847,18,1952/11/27 9:00
195305,5300,54662,15,1953/7/6 8:00
195305,5300,58238,12,1953/7/6 9:12
195305,5300,58251,11,1953/7/6 10:07
195305,5300,58457,19,1953/7/6 10:00
195305,5300,58457,19,1953/7/6 10:00
195305,5300,58477,18,1953/7/5 20:00
195305,5300,58477,18,1953/7/5 14:00
195305,5300,58847,21,1953/7/4 23:00
195305,5300,59134,14,1953/7/4 13:00
195306,5300,59644,16,1953/7/1 18:00
195306,5300,59644,16,1953/7/2 3:00
195306,5300,59644,16,1953/7/1 0:00
195306,5300,59838,12,1953/7/1 0:00
195306,5300,59838,12,1953/7/1 0:00
195310,5300,54662,15,1953/8/18 18:55
195310,5300,54823,16,1953/8/17 16:17
195310,5300,54857,17,1953/8/18 5:01
195310,5300,57083,16,1953/8/18 8:00
195310,5300,57799,15,1953/8/18 12:00
