cyclone_id,cyclone_num,station_id,hour_maxrain,start,end,
195105,5100,59316,19,1951/5/14 1:00,1951/5/14 2:00, 
195106,5100,57957,16,1951/6/21 17:00,1951/6/21 18:00, 
195106,5100,59211,10,1951/6/22 17:00,1951/6/22 18:00, 
195106,5100,59287,10,1951/6/21 8:00,1951/6/21 9:00, 
195106,5100,59431,14,1951/6/23 5:00,1951/6/23 6:00, 
195106,5100,59758,32,1951/6/20 21:00,1951/6/20 22:00, 
195112,5100,59287,29,1951/8/3 13:43,1951/8/3 14:43, 
195112,5100,59431,11,1951/8/2 23:00,1951/8/2 0:00, 
195112,5100,59758,44,1951/8/2 5:00,1951/8/2 6:00, 
195114,5100,59211,11,1951/8/8 13:00,1951/8/8 14:00, 
195114,5100,59287,17,1951/8/7 16:15,1951/8/7 17:05, 
195114,5100,59431,14,1951/8/8 15:00,1951/8/8 16:00, 
195115,5100,59265,15,1951/8/18 15:00,1951/8/18 16:00, 
195115,5100,59287,12,1951/8/15 18:30,1951/8/15 19:30, 
195115,5100,59316,25,1951/8/16 15:00,1951/8/16 16:00, 
195115,5100,59431,13,1951/8/19 5:00,1951/8/19 6:00, 
195115,5100,59758,21,1951/8/16 12:00,1951/8/16 13:00, 
195118,5100,59211,11,1951/9/4 7:00,1951/9/4 8:00, 
195118,5100,59287,14,1951/9/2 14:37,1951/9/2 15:05, 
195118,5100,59758,19,1951/9/2 21:00,1951/9/2 22:00, 
195119,5100,59287,33,1951/9/4 16:17,1951/9/4 17:17, 
195122,5100,59316,11,1951/9/25 13:00,1951/9/25 14:00, 
195201,5200,59287,12,1952/6/14 21:40,1952/6/14 22:40, 
195201,5200,59316,17,1952/6/12 3:00,1952/6/12 4:00, 
195208,5200,57957,33,1952/7/30 17:00,1952/7/30 18:00, 
195208,5200,59265,19,1952/7/30 12:00,1952/7/30 13:00, 
195208,5200,59287,47,1952/7/30 7:03,1952/7/30 8:03, 
195208,5200,59431,12,1952/7/30 15:27,1952/7/30 16:27, 
195214,5200,59265,30,1952/8/20 20:00,1952/8/20 21:00, 
195214,5200,59287,22,1952/8/19 17:25,1952/8/19 18:25, 
195214,5200,59316,20,1952/8/20 11:00,1952/8/20 12:00, 
195215,5200,59316,11,1952/8/27 10:00,1952/8/27 11:00, 
195215,5200,59758,30,1952/8/27 17:00,1952/8/27 18:00, 
195217,5200,59431,18,1952/9/7 15:50,1952/9/7 16:50, 
195218,5200,59316,15,1952/9/12 21:00,1952/9/12 22:00, 
195221,5200,59316,16,1952/9/17 19:00,1952/9/17 20:00, 
195305,5300,54497,14,1953/7/6 17:55,1953/7/6 18:55, 
195305,5300,59082,12,1953/7/5 16:55,1953/7/5 17:55, 
195305,5300,59265,10,1953/7/5 21:00,1953/7/5 22:00, 
195305,5300,59287,27,1953/7/5 17:24,1953/7/5 18:24, 
195305,5300,59316,29,1953/7/5 14:00,1953/7/5 15:00, 
195306,5300,59082,24,1953/7/1 13:55,1953/7/1 14:55, 
195306,5300,59287,21,1953/7/2 15:40,1953/7/2 16:40, 
195306,5300,59316,25,1953/7/2 7:09,1953/7/2 8:09, 
195307,5300,57957,28,1953/7/26 15:00,1953/7/26 16:00, 
195307,5300,59316,10,1953/7/25 0:00,1953/7/25 1:00, 
195310,5300,54497,26,1953/8/17 23:00,1953/8/17 0:00, 
195310,5300,54662,27,1953/8/21 14:00,1953/8/21 15:00, 
195310,5300,54823,32,1953/8/20 18:00,1953/8/20 19:00, 
195313,5300,59316,15,1953/8/14 8:00,1953/8/14 9:00, 
195314,5300,59316,24,1953/8/21 22:00,1953/8/21 23:00, 
195315,5300,59316,14,1953/9/1 23:00,1953/9/1 0:00, 
195317,5300,59265,13,1953/9/20 17:00,1953/9/20 18:00, 
195317,5300,59316,23,1953/9/18 13:00,1953/9/18 14:00, 
195326,5300,59316,19,1953/10/30 15:00,1953/10/30 16:00, 
195407,5400,56964,10,1954/8/7 2:27,1954/8/7 3:27, 
195407,5400,57957,19,1954/8/6 16:00,1954/8/6 17:00, 
195407,5400,57993,16,1954/8/7 15:48,1954/8/7 16:48, 
195407,5400,59211,17,1954/8/7 17:03,1954/8/7 18:03, 
195407,5400,59316,15,1954/8/5 7:55,1954/8/5 8:55, 
195407,5400,59431,14,1954/8/7 13:30,1954/8/7 14:30, 
195407,5400,59644,35,1954/8/6 0:25,1954/8/6 1:25, 
195411,5400,50953,11,1954/8/26 14:24,1954/8/26 15:24, 
195411,5400,54292,20,1954/8/26 5:00,1954/8/26 6:00, 
195411,5400,54342,24,1954/8/26 11:04,1954/8/26 12:04, 
195411,5400,54471,19,1954/8/26 6:00,1954/8/26 7:00, 
195416,5400,57957,24,1954/9/2 2:05,1954/9/2 3:05, 
195416,5400,59265,15,1954/9/4 3:20,1954/9/4 4:20, 
195417,5400,50953,10,1954/9/14 13:10,1954/9/14 14:10, 
195418,5400,59316,13,1954/9/10 2:00,1954/9/10 3:00, 
195418,5400,59431,39,1954/9/12 2:18,1954/9/12 3:18, 
195418,5400,59644,40,1954/9/12 14:58,1954/9/12 15:58, 
195424,5400,59211,22,1954/10/7 8:34,1954/10/7 9:34, 
195424,5400,59265,29,1954/10/7 13:30,1954/10/7 14:30, 
195424,5400,59644,25,1954/10/6 17:37,1954/10/6 18:37, 
195505,5500,57993,14,1955/6/5 15:20,1955/6/5 16:20, 
