cyclone_id,cyclone_num,station_id,total_rain
194904,4900,59293,14
194906,4900,54342,86
194906,4900,54471,53
194906,4900,54497,156
194906,4900,54823,28
194906,4900,58238,13
194908,4900,58847,19
194908,4900,59293,22
194911,4900,59117,75
194911,4900,59293,25
194913,4900,58238,22
194913,4900,58847,24
194913,4900,59134,72
194919,4900,59023,54
194919,4900,59117,17
194919,4900,59134,27
194919,4900,59211,26
194919,4900,59293,19
194919,4900,59431,59
194920,4900,58847,26
194920,4900,59117,37
194920,4900,59134,22
194920,4900,59293,76
194922,4900,59211,18
194922,4900,59265,28
194922,4900,59431,41
194924,4900,58847,23
194924,4900,59117,16
194925,4900,58606,11
194925,4900,58847,82
194925,4900,59117,14
194925,4900,59134,97
195003,5000,59134,12
195003,5000,59293,32
195005,5000,59293,11
195007,5000,58457,22
195009,5000,58847,18
195010,5000,54423,97
195010,5000,54511,80
195010,5000,54618,23
195010,5000,54823,32
195010,5000,54843,45
195010,5000,58027,24
195010,5000,58457,33
195010,5000,58847,10
195010,5000,59134,11
195012,5000,59117,69
195012,5000,59134,20
195012,5000,59265,26
195012,5000,59293,53
195012,5000,59431,32
195030,5000,59134,14
195031,5000,59117,74
195031,5000,59293,23
195032,5000,59293,13
195040,5000,57993,27
195040,5000,58847,54
195040,5000,59117,140
195040,5000,59134,37
195040,5000,59293,68
195105,5100,57799,19
195105,5100,57993,19
195105,5100,58847,17
195105,5100,59117,40
195105,5100,59134,55
195105,5100,59287,13
195105,5100,59293,54
195105,5100,59316,107
195106,5100,57957,19
195106,5100,59082,50
195106,5100,59211,52
195106,5100,59265,16
195106,5100,59287,34
195106,5100,59293,58
195106,5100,59316,32
195106,5100,59431,76
195106,5100,59758,87
195112,5100,59082,23
195112,5100,59117,15
195112,5100,59211,45
195112,5100,59287,52
195112,5100,59293,68
195112,5100,59316,40
195112,5100,59431,84
195112,5100,59758,206
195114,5100,57902,14
195114,5100,59082,25
195114,5100,59211,65
195114,5100,59265,28
195114,5100,59287,41
195114,5100,59293,50
195114,5100,59431,47
195114,5100,59758,12
195115,5100,57866,39
195115,5100,57972,15
195115,5100,57993,19
195115,5100,58847,16
195115,5100,59082,62
195115,5100,59117,40
195115,5100,59134,71
195115,5100,59265,76
195115,5100,59287,67
195115,5100,59293,85
195115,5100,59316,223
195115,5100,59431,86
195115,5100,59758,177
195116,5100,50953,30
195116,5100,54161,40
195116,5100,54342,11
195116,5100,54497,69
195116,5100,54662,53
195116,5100,54753,20
195116,5100,54843,29
195116,5100,58150,36
195116,5100,58238,10
195116,5100,58251,80
195116,5100,58457,44
195116,5100,58477,525
195118,5100,59082,18
195118,5100,59211,21
195118,5100,59287,22
195118,5100,59293,14
195118,5100,59758,75
195119,5100,59287,84
195119,5100,59293,11
195119,5100,59758,18
195121,5100,59265,28
195121,5100,59758,12
195122,5100,58040,14
195122,5100,58251,21
195122,5100,58457,33
195122,5100,58477,60
195122,5100,58725,13
195122,5100,58847,126
195122,5100,59134,126
195122,5100,59316,35
195123,5100,58477,30
195201,5200,57799,172
195201,5200,57866,10
195201,5200,57972,75
195201,5200,57993,32
195201,5200,58606,41
195201,5200,58725,92
195201,5200,58847,98
195201,5200,59082,49
195201,5200,59117,128
195201,5200,59134,116
195201,5200,59265,25
195201,5200,59287,115
195201,5200,59293,95
195201,5200,59316,114
195201,5200,59758,267
195203,5200,59117,46
195203,5200,59287,13
195203,5200,59293,25
195203,5200,59316,40
195204,5200,59758,128
195207,5200,53798,74
195207,5200,54423,16
195207,5200,54511,58
195207,5200,54618,22
195207,5200,54843,21
195207,5200,57297,16
195207,5200,57799,52
195207,5200,57993,39
195207,5200,58027,35
195207,5200,58040,43
195207,5200,58150,41
195207,5200,58221,24
195207,5200,58238,18
195207,5200,58251,57
195207,5200,58457,60
195207,5200,58725,100
195207,5200,58847,212
195207,5200,59117,13
195207,5200,59134,40
195208,5200,56492,22
195208,5200,56691,16
195208,5200,56739,42
195208,5200,56778,48
195208,5200,56964,24
195208,5200,57633,11
195208,5200,57816,15
195208,5200,57902,69
195208,5200,57957,104
195208,5200,59117,15
195208,5200,59211,30
195208,5200,59265,42
195208,5200,59287,106
195208,5200,59293,14
195208,5200,59316,21
195208,5200,59431,20
195212,5200,57816,28
195212,5200,57866,33
195212,5200,57957,24
195212,5200,59211,29
195212,5200,59265,24
195212,5200,59287,16
195212,5200,59293,35
195212,5200,59431,20
195212,5200,59501,89
195213,5200,50953,43
195213,5200,54161,39
195213,5200,54342,11
195213,5200,54471,16
195213,5200,54497,52
195213,5200,54662,30
195213,5200,54753,11
195214,5200,57866,12
195214,5200,59117,11
195214,5200,59134,68
195214,5200,59265,169
195214,5200,59287,46
195214,5200,59293,10
195214,5200,59316,92
195214,5200,59501,121
195215,5200,57902,15
195215,5200,57957,23
195215,5200,59211,40
