"id","station_id","station_name","lat","long","altitude_sensor","altitude_site"
"1","50527","HAILAR",49 15 00N,119 42 00E,"650","999998"
"2","50557","NENJIANG","49 10 00N","125 14 00E","243","999998"
"3","50603","XIN BARAG YOUQI","48 40 00N","116 49 00E","556","999998"
"4","50727","ARXAN","47 10 00N","119 56 00E","997","999998"
"5","50745","QIQIHAR","47 23 00N","123 55 00E","148","999998"
"6","50756","HAILUN","47 26 00N","126 58 00E","240","999998"
"7","50774","YICHUN","47 42 00N","128 50 00E","259","999998"
"8","50788","FUJIN","47 14 00N","131 59 00E","65","999998"
"9","50915","ULIASTAI","45 31 00N","116 58 00E","841","999998"
"10","50949","QIAN GORLOS","45 05 00N","124 52 00E","136","999998"
"11","50953","HARBIN","45 56 00N","126 34 00E","118","999998"
"12","50963","TONGHE","45 58 00N","128 44 00E","110","999998"
"13","50978","JIXI","45 18 00N","130 55 00E","273","999998"
"14","51076","ALTAY","47 44 00N","88 05 00E","737","999998"
"15","51087","FUYUN","46 59 00N","89 31 00E","810","999998"
"16","51133","TACHENG","46 44 00N","83 00 00E","535","999998"
"17","51156","HOBOKSAR","46 47 00N","85 43 00E","1294","999998"
"18","51243","KARAMAY","45 37 00N","84 51 00E","457","999998"
"19","51334","JINGHE","44 34 00N","82 49 00E","330","999998"
"20","51542","BAYANBULAK","43 02 00N","84 09 00E","2459","999998"
"21","51573","TURPAN","42 56 00N","89 12 00E","37","999998"
"22","51656","KORLA","41 45 00N","86 08 00E","933","999998"
"23","51709","KASHI","39 29 00N","75 45 00E","1387","999998"
"24","51730","ALAR","40 30 00N","81 03 00E","1013","999998"
"25","51747","TAZHONG","39 00 00N","83 40 00E","1100","999998"
"26","51765","TIKANLIK","40 38 00N","87 42 00E","847","999998"
"27","51811","SHACHE","38 26 00N","77 16 00E","1232","999998"
"28","51828","HOTAN","37 08 00N","79 56 00E","1375","999998"
"29","52203","HAMI","42 49 00N","93 31 00E","739","999998"
"30","52323","MAZONG SHAN","41 48 00N","97 02 00E","1770","999998"
"31","52533","JIUQUAN","39 46 00N","98 29 00E","1478","999998"
"32","52602","LENGHU","38 50 00N","93 23 00E","2771","999998"
"33","52652","ZHANGYE","39 05 00N","100 17 00E","1462","999998"
"34","52681","MINQIN","38 38 00N","103 05 00E","1369","1367"
"35","52818","GOLMUD","36 25 00N","94 54 00E","2809","999998"
"36","52836","DOULAN","36 18 00N","98 06 00E","3190","999998"
